"# of Use","使用次数"
"%1$s incl tax.","%1$s 含税"
"%s - %s","%s - %s"
"%s Item(s)","%s 个项目"
"%s and above","%s 以上"
"Catalog New Products List","目录新产品列表"
"Catalog Price Scope","目录价格范围"
"Catalog Product Compare List","目录产品比较产品"
"Catalog Product Email to a Friend","目录产品推荐给朋友"
"Catalog Product Image Gallery Popup","目录产品图片弹出"
"Catalog Product Link","目录产品链接"
"Catalog Product View (Any)","目录产品查看(所有)"
"Catalog Product View (Configurable)","目录产品查看 (可客制化产品)"
"Catalog Product View (Grouped)","目录产品查看 (打包产品)"
"Catalog Product View (Simple)","目录产品查看 (简单产品)"
"Catalog Product View (Virtual)","目录产品查看 (虚拟产品)"
"Catalog Section","目录区"
"Catalog Seo Sitemap (Category List)","目录SEO地图 (分类列表)"
"Catalog Seo Sitemap (Category Tree)","SEO地图 (分类树)"""
"Catalog Seo Sitemap (Common)","目录SEO地图 (普通)"
"Catalog Seo Sitemap (Product List)","目录SEO地图(产品列表)"
"Catalog URL Rewrites","目录替代网址"
"Catalog product custom option values API","目录产品自定义选项值 API"
"Catalog product custom options API","目录产品自定义选项 API"
"Catalog, Search","目录，搜寻"
"Categories","分类"
"Categories Sitemap","分类网站地图"
"Category","分类"
"Category API","分类 API"
"Category Data","分类资料"
"Category Flat Data","目录数据"
"Category Link Block Template","分类连结块样板"
"Category Link Inline Template","分类连结文内样板"
"Category Products","分类产品"
"Category Top Navigation","顶部目录导览"
"Category URL Suffix","目录 URL 后缀"
"Category attributes API","分类属性 API"
"Category move error","移动分类出错"
"Category move error %s","移动分类出错 %s"
"Category move operation is not possible: parent category is equal to child category.","分类移动错误：父分类跟子分类相同"
"Category move operation is not possible: the current category was not found.","分类移动错误：找不到目前分类"
"Category move operation is not possible: the new parent category was not found.","分类移动操作不成功,新的父类没有找到"
"Category must be an instance of Mage_Catalog_Model_Category.","分类必须是 Mage_Catalog_Model_Category 实例"
"Center","置中"
"Change","编辑"
"Change or Retrieve attribute store view","编辑或取得商店接口属性"
"Change status","编辑状态"
"Check items to add to the cart or","选择产品新增至购物车或"
"Choose an Option...","选择选项.."
"Clear All","清除所有"
"Clear Price","清除价格"
"Click for price","点这看价格"
"Close Window","关闭窗口"
"Collapse All","全部迭起"
"Comma-separated.","逗号分隔"
"Comparable","可比较"
"Comparable on Front-end","可在前台比较"
"Comparable on the Frontend","在前台可比较"
"Compare","比较"
"Compare Products","比较产品"
"Conditions Combination","条件组合"
"Configurable Product","客制化产品"
"Configurable Product Settings","客制化产品的设定"
"Configure Product","客制化产品"
"Continue","继续"
"Copy From Configurable","从客制化复制"
"Country/State","国家/地区"
"Create","建立"
"Create (Upload)","建立（上传）"
"Create Empty","建立空"
"Create Permanent Redirect for URLs if URL Key Changed","在网址代码变更时建立该网址的永久引导"
"Create Permanent Redirect for old URL","为旧网址建立永久引导"
"Create Product Settings","建立产品设定"
"Create Simple Associated Product","建立简单相关产品"
"Create attribute set based on another set","以另一个集合建立属性集合"
"Create new attribute","建立新属性"
"Create new category","建立新分类"
"Create new product","建立新产品"
"Cross-sells","交叉销售"
"Currently Shopping by:","目前购物人："
"Custom Design","自定义设计"
"Custom Options","自定义选项"
"Custom options","自定义选项"
"Customer Group","客户群组"
"Customers Reviews","客户评论"
"Customers Tagged Product","客户产品卷标"
"Data Type for Saving in Database","保存在数据库的日期类型"
"Date & Time Custom Options","自定义时间和日期选项"
"Date Fields Order","日期字段排序"
"Date Subscribed","订阅日期"
"Datetime","日期"
"Decimal","小数"
"Declare attribute value saving scope","定义属性值保存范围"
"Default ""What's This"" Text Message","预设的 ""这是什么"" 文字讯息"
"Default Popup Text Message","默认弹出窗口文字讯息"
"Default Price","默认价格"
"Default Price Navigation Step","默认价格导览步"
"Default Qty","预设数量"
"Default Values","默认值"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","定义基础货币范围 (""货币设定"" > ""货币选项"" > ""基础货币"")"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性集合"
"Delete Category","删除分类"
"Delete Group Price","删除群组价格"
"Delete Option","删除选项"
"Delete Row","删除行"
"Delete Search","删除搜寻"
"Delete Selected Group","删除所选群组"
"Delete Tier","删除阶层"
"Delete attribute","删除属性"
"Delete category","删除分类"
"Delete product","删除产品"
"Depends on design theme","决定于样板设计"
"Design","设计"
"Details","细节"
"Disabled","停用"
"Disallowed file type.","不允许的文件类型"
"Display Actual Price","显示实际价格"
"Display Page Control","显示页面控件"
"Display Price Interval as One Price","将价格间距显示为一个价格"
"Display Product Count","显示产品数量"
"Display Type","显示类型"
"Display in Suggested Terms","在建议关键词中显示"
"Double click on a group to rename it","双击群组来修改名称"
"Double click on above image to view full picture","双击上面的图片查看全图"
"Downloadable Information","下载信息"
"Duplicate","复制"
"Duplicate website group price customer group.","复制网站群组价格客户群组"
"Duplicate website tier price customer group and quantity.","复制网站分层价格客户群组和数量"
"Duplicate website, country and state tax found.","发现重复的网站、国家或地区税率"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例： {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}} ，动态指令解析会影响目录的效率"
"Edit","编辑"
"Edit Attribute Set '%s'","编辑属性集合'%s'"
"Edit Product Attribute","编辑产品属性"
"Edit Product Attribute ""%s""","编辑产品属性""%s"""
"Edit Search","编辑搜寻"
"Edit Search '%s'","编辑搜寻'%s'"
"Edit Set Name","编辑集名"
"Email","电子信箱"
"Email to a Friend","转寄给朋友"
"Empty","空"
"Enable MAP","开启地图"
"Enable Qty Increments","使用数量增加"
"Enable WYSIWYG","开启所见即所得编辑器"
"Enable for reindexing a big number of SKUs.","开启来为大量的产品统一编号进行重新索引"
"Enabled","开启"
"Error during retrieval of option value: %s","读取选项值时出错：%s"
"Exclude","不显示"
"Expand All","全部展开"
"Failed","失败"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","复制档案 %s 失败，请删除媒体文件中不存在的图片后重试"
"Failed to move file: %s","无法移动档案：%s"
"Feature Products","推荐产品"
"Field is not complete","字段是不完整的"
"File options format is not valid.","档案选项格式是有误的"
"File upload failed","档案上传失败"
"Filter model name must be declared.","过滤器名必须声明"
"Filter must be an object. Please set correct filter.","过滤器必须作为对象。请正确设定过滤器"
"Filterable (no results)","有条件 (不含结果)"
"Filterable (with results)","有条件 (含结果)"
"First Name","名字"
"Fixed","固定"
"For internal use.","内部使用"
"For the last time placed.","上次放置的"
"Frontend","前台"
"Frontend Model","前台型号"
"Frontend Properties","前台属性"
"Gallery","图册"
"General Information","一般信息"
"Get full information about attribute with list of options","取得属性与选项列表的完整信息"
"Get full information about custom option in product","取得产品自定义选项的完整信息"
"Get list of available custom option types","取得可用自定义选项类型列表"
"Get list of non-default attributes by product type and attributes set","依据产品类型与属性集合取得非默认属性的列表"
"Get list of possible attribute types","取得可能的属性类型"
"Get special price","取得特价"
"Global","全站"
"Globally Editable","可全站编辑"
"Go to Home Page","转到首页"
"Grid","表格"
"Group add","新增群组"
"Group remove","移除群组"
"Grouped Product","组合产品"
"Groups","群组"
"Home","首页"
"ID","编号"
"ID: %s","编号: %s"
"If empty, the Category Name will be used","如果空白，将使用分类名"
"If empty, the Product Name will be used","如果空白,将使用产品名"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如果您未给商店指定选项值，将使用默认值"
"Image","图片"
"Image content is not valid base64 data.","图片内容不是正确的 base64 数据"
"Image does not exist.","图片不存在"
"Image file was not found.","图片档案没找到"
"Image type and information need to be specified for each store view.","每个商店接口要输入图片类型和信息"
"In Cart","在购物车"
"In Stock","有库存"
"In stock","有库存"
"Incl. Tax","含税"
"Index product and categories URL rewrites","索引产品和分类链接改写"
"Index product attributes for layered navigation building","索引产品属性分阶层导览"
"Index product prices","索引产品价格"
"Indexed category/products association","索引分类/产品"
"Info","信息"
"Info Column Options Wrapper","信息栏选项外观"
"Input Type","输入类型"
"Integer","整数"
"Interval Division Limit","区间划分限制"
"Invalid Tier Prices","错误的分级价格"
"Invalid attribute %s","错误的属性 %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","属性 %s (%s) 数值有误，略过资料"
"Invalid attribute set specified, skipping the record.","指定的属性集合有误，略过数据"
"Invalid block: %s.","区块有误：%s"
"Invalid category IDs.","分类编号有误"
"Invalid category.","错误的分类"
"Invalid image file type.","图片文件类型有误"
"Invalid image type.","错误的分类类型"
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s)的选项编号有误，忽略该记录"
"Invalid product type specified, skipping the record.","产品类型有误，略过数据"
"Invalid store specified","指定的商店有误"
"Invalid store specified, skipping the record.","指定的商店有误，略过数据"
"Invalid tier prices. The product is not associated to the requested website.","错误双重价格。产品与请求网站无关"
"Inventory","库存"
"Is Default","预设"
"Is Required","必填"
"Items %s to %s of %s total","产品%s到%s，共%s件"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜寻结果中的产品， 相应商店中的状态要设定为'停用'"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜寻结果中的产品， 相应商店中的状态要设定为'停用'"
"Keep your eyes open for our special Back to School items and save A LOT!","睁大眼睛找到特殊的""返校"" 项目，获得大实惠！"
"Label","标签"
"Last Name","姓氏"
"Last Notification","最近提醒"
"Layered Navigation","阶层导览"
"Learn More","更多信息"
"Line %d, Email: %s","行%d，信件：%s"
"Line %d, SKU: %s","行%d，产品统一编号: %s"
"Link (Related, Up sell, Cross sell)","连接（关联，推荐销售，交叉销售）"
"Link product does not exist.","链接产品不存在"
"Link to a Specified Category","连结到指定的分类"
"Link to a Specified Product","链接到指定的产品"
"List","清单"
"List Mode","列表模式"
"List of Products that are set as New","产品列表设定为新"
"List of types","类型清单"
"Manage Attribute Sets","管理属性集合"
"Manage Attributes","管理属性"
"Manage Catalog Categories","管理目录分类"
"Manage Categories","管理分类"
"Manage Label / Options","管理卷标/选项"
"Manage Options (values of your attribute)","管理选项 (属性值)"
"Manage Product Attributes","管理产品属性"
"Manage Product Sets","管理组合产品"
"Manage Products","管理产品"
"Manage Stock","管理库存"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、颜色等。)"
"Max Characters","字符数目上限"
"Maximal Depth","层数上限"
"Maximum Image Size","图片大小上限"
"Maximum Number of Price Intervals","价格间距上限"
"Maximum Qty Allowed in Shopping Cart","购物车中产品数量上限"
"Maximum allowed image size for '%s' is %sx%s px.","对于 '%s' 的图片大小上限为 %sx%s px"
"Maximum image height","图片高度上限"
"Maximum image width","图片宽度上限"
"Maximum number of characters:","字符数量上限："
"Maximum number of price intervals is 100","价格间隔上限为 100"
"Media Image","媒体图片"
"Minimum Advertised Price","刊登价格下限"
"Minimum Lines per Page","每页行数下限"
"Minimum Qty Allowed in Shopping Cart","购物车中产品数量下限"
"Minimum Qty for Item\'s Status to be Out of Stock","产品缺货状态的数量下限"
"Missing SKU, skipping the record.","缺少产品统一编号，略过资料"
"More Views","更多"
"Move","移动"
"Move category in tree","移动分类"
"Must be in the allowed values list.","必须在允许的值"
"N/A","无"
"Name","名称"
"Name in %s","%s中名称"
"New Product","新增产品"
"New Product Attribute","新产品属性"
"New Products","新产品"
"New Products Grid Template","新产品网格样板"
"New Products List Template","新产品列表样板"
"New Root Category","新的根目录"
"New Search","新搜寻"
"New Set Name","新组合名称"
"New Subcategory","新子目录"
"New products","New products"
"Next","下一个"
"No","否"
"No image","没有图片"
"No layout updates","无版面更新"
"No options of this product are available.","没有这个产品的选项可用"
"No product collections found.","没有找到产品组合"
"None","无"
"Not Visible Individually","不可见"
"Notify Low Stock RSS","低库存提醒RSS"
"Notify for Quantity Below","提醒数量低于"
"Number of Products per Page","每页产品数量"
"Number of Products to Display","显示产品的数量"
"Number of Uses","使用次数"
"Number of results","结果数量"
"Number of results (For the last time placed)","结果数量 (最近一次配置的)"
"OK","是"
"OR","或"
"Old Price:","建议售价："
"On Gesture","基于手势"
"Option validation failed to add product to cart.","将所购产品增加至购物车时失败"
"Option values","选项数值"
"Option:","选项："
"Options","选项"
"Options Control","选项控制"
"Options is required","必填选项"
"Our customer service is available 24/7. Call us at (555) 555-0123.","我们的客户服务 7x24 可用。客服电话：(555) 555-0123"
"Out of Stock","缺货"
"Out of stock","缺货"
"PM","PM"
"Page Title Separator","页面标题分隔符"
"Parent Category","上层分类"
"Pending","等待中"
"Pending Reviews RSS","待审评论的RSS"
"Percentage","百分比"
"Please add rows to option.","请新增数据到选项"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请谨慎操作，一旦您点选此行，选定档案的包数据将被汇入，所有未保存的窗体将会丢失"
"Please click on the Close Window button if it is not closed automatically.","如果窗口没有自动关闭，点关闭按钮"
"Please enter a new group name","请输入新组名"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","请在 系统 -&gt; <a href=""%s"">索引管理</a>更新 ""目录替代网址"" 与 ""产品属性"""
"Please select a static block ...","请选择静态区块 .."
"Please select items.","请选择项目"
"Please select one or more attributes.","请选择一个以上属性"
"Please select product(s).","请选择产品"
"Please select products for attributes update","请选择产品更新属性"
"Please specify date required option(s).","请指定日期必选项目目"
"Please specify the number of products, that will not be divided into subintervals.","请指定产品数量，他不会被分割为子间隔"
"Please specify the product required option(s)","请指定产品必选项目"
"Please specify the product required option(s).","请指定产品必选项目"
"Please specify the product\'s option(s).","请指定产品选项"
"Please specify the product\'s required option(s).","请指定产品必选项目"
"Please specify the quantity of product(s).","请指定产品数量"
"Please specify time required option(s).","请指定时间必选项目"
"Please wait...","请等待.."
"Position","位置"
"Position in Layered Navigation","阶层导览中位置"
"Position of attribute in layered navigation block","层导览区块中的属性位置"
"Prev","上一个"
"Previous","上一个"
"Price","价格"
"Price Navigation Step Calculation","价格导览阶层计算"
"Price Type","价格类型"
"Price is not available","价格无法使用"
"Price values for options should be specified in system base currency.","请在系统基础货币中输入选项价格"
"Price:","价格："
"Price: %s","价格: %s"
"Print This Page","打印本页"
"Product","产品"
"Product API","产品 API"
"Product Alerts","产品提醒"
"Product Attribute","产品属性"
"Product Attributes","产品属性"
"Product Categories","产品分类"
"Product Description","产品说明"
"Product Extra Info","产品附加信息"
"Product Flat Data","产品数据"
"Product ID","产品编号"
"Product Image Placeholders","产品图片区块"
"Product Image Watermarks","产品图片水印"
"Product Images","产品图片"
"Product Images API","产品图片 API"
"Product In Websites","产品网站"
"Product Info Column","产品信息栏"
"Product Information","产品信息"
"Product Link Block Template","产品链接块样板"
"Product Link Inline Template","产品链接文内样板"
"Product Listing Sort by","产品列表排序按"
"Product Name","产品名称"
"Product Prices","产品价格"
"Product Reviews","产品评论"
"Product Tags","产品卷标"
"Product Tier Price API","产品分级价格 API"
"Product Type","产品类型"
"Product URL Suffix","产品 URL 后缀"
"Product View Extra Hint","产品视图附加提示"
"Product attribute sets API","产品属性集合 API"
"Product attributes API","产品属性 API"
"Product collection expected.","需要产品组合"
"Product is not loaded","产品没有加载"
"Product links API (related, cross sells, up sells)","产品连接API （相关产品，交叉销售，推荐销售）"""
"Product types API","产品类型 API"
"Product with this combination of attributes already associated to configurable.","该属性集合的产品已与配置关联"
"Products","产品"
"Products Comparison List","产品比较产品"
"Products Information","产品信息"
"Products Reviews","产品评论"
"Products Sitemap","产品网站地图"
"Products only","仅限产品"
"Products per Page on Grid Allowed Values","表格模式下每页产品显示数量允许值"
"Products per Page on Grid Default Value","每页表格产品数量的默认值"
"Products per Page on List Allowed Values","列表列表模式下每页产品显示数允许值"
"Products per Page on List Default Value","每页列表产品数量的默认值"
"Properties","属性"
"Qty","数量"
"Qty Increments","数量增加"
"Qty Uses Decimals","数量用十进制"
"Qty for Item\'s Status to Become Out of Stock","决定产品售完的数量"
"Qty:","数量:"
"Quantity","数量"
"Quick Create","快速建立"
"Quick Overview","简介"
"Quick simple product creation","快速建立简单产品"
"Records for ""%s"" store found.","""%s"" 商店找到的数据"
"Redirect","引导"
"Redirect URL","引导网址"
"Regular Price:","建议售价："
"Related Products","相关产品"
"Remove","删除"
"Remove Product From Websites","从网站删除产品"
"Remove This Item","删除这个项目"
"Remove attribute from attribute set","从属性集合移除属性"
"Remove attribute set","移除属性集合"
"Remove custom option","移除自定义选项"
"Remove group from attribute set","从属性集合移除群组"
"Remove option","移除选项"
"Remove product assignment","从分类中删除分配产品"
"Remove product image","删除产品图片"
"Remove product link","删除产品连接"
"Remove value from custom option","从自定义选项移除数值"
"Rename existing group","更改既有组名"
"Rename group","更改组名"
"Reorganize EAV category structure to flat structure","重新整理 EAV 分类结构为平面结构"
"Reorganize EAV product structure to flat structure","重新整理 EAV 产品结构为平面结构"
"Reset","重置"
"Results","结果"
"Retrieve attribute data","取得属性数据"
"Retrieve attribute list","取得属性列表"
"Retrieve attribute options","取得属性选项"
"Retrieve categories tree","取得分类树"
"Retrieve category attributes","取得目录属性"
"Retrieve category data","取得目录数据"
"Retrieve hierarchical tree","取得分级(目录)树"
"Retrieve linked products","取得连接产品列表"
"Retrieve list of assigned products","取得指定产品列表"
"Retrieve list of option values","取得选项值的列表"
"Retrieve list of product custom options","取得产品自定义选项的列表"
"Retrieve one level of categories by website/store view/parent category","根据网站/商店视图/父目录取得单层分类"
"Retrieve option value info","取得选项数值信息"
"Retrieve product","取得产品"
"Retrieve product attribute sets","取得产品属性集合"
"Retrieve product image","取得产品图片"
"Retrieve product image list","取得产品图片列表"
"Retrieve product image types","取得产品图片类型"
"Retrieve product link type attributes","取得产品连接类型属性"
"Retrieve product link types","取得产品连接类型"
"Retrieve product tier prices","取得产品分级价格"
"Retrieve product types","取得产品类型"
"Retrieve products data","取得产品数据"
"Retrieve products list by filters","根据过滤器取得产品列表"
"Reviews","评论"
"Roll Over for preview","总评"
"Root","根分类"
"SKU","产品统一编号"
"SKU length should be %s characters maximum.","产品统一编号最多 %s 个符号"
"Save","保存"
"Save Attribute","保存属性"
"Save Attribute Set","保存属性集合"
"Save Category","保存分类"
"Save Search","保存搜寻"
"Save and Continue Edit","保存并继续编辑"
"Saved %d record(s)","保存 %d 笔数据"
"Scope","范围"
"Scope must not be changed, because the attribute is used in configurable products.","范围无法改变，因为这个属性已经用在客制化产品"
"Search","搜寻"
"Search Engine Optimizations","搜索引擎优化"
"Search Information","搜寻信息"
"Search Query","搜寻"
"Search Term with such search query already exists.","搜寻关键词已存在"
"Searchable","可搜寻"
"See price before order confirmation.","在订单确认前检视价格"
"Select Category...","选择分类.."
"Select Configurable Attributes ","选择可设定属性"
"Select Product...","选择产品.."
"Select type of option","选择选项类型"
"Select type options required values rows.","选择类型选项需指定选项值数组"
"Selected Product Types","选择产品类型"
"Send Count","发送计算"
"Set Ascending Direction","设为升幂"
"Set Descending Direction","设为降序"
"Set Name","集合名称"
"Set Root Category for Store","设定商店根分类"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">设定</a>中给该商店设定根分类"
"Set special price","设定特价"
"Set/Get current store view","设定/获得目前商店接口"
"Settings","设定"
"Shop By","购物选项"
"Shopping Options","购物选项"
"Show","显示"
"Show Details","显示详情"
"Show Tags","显示卷标"
"Simple Product","简单产品"
"Site Map","网站地图"
"Sitemap","网站地图"
"Skip import row, is not valid value ""%s"" for field ""%s""","跳过汇入行，不是正确的""%s"" 在字段""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","跳过汇入行，新客户的必填字段 ""%s"" 尚未定义"
"Skip import row, the value ""%s"" is invalid for field ""%s""","跳过汇入行，值%s""的""是错误的领域""，""%s""的"""""
"Skipping import row, required field ""%s"" for new products is not defined.","跳过汇入行，新产品必填字段 ""%s"" 尚未定义"
"Skipping import row, required field ""%s"" is not defined.","跳过汇入行，必填字段""%s""尚未定义"
"Skipping import row, store ""%s"" field does not exist.","跳过汇入行，商店""%s""字段不存在"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","跳过汇入行，值 ""%s"" 对于字段 ""%s"" 不合理"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","部分处理产品没有定义产品统一编号。请在对这些产品进行操作之前补充完整"
"Some of the selected item options are not currently available.","部份选择的选项目前无法使用"
"Sort By","排序"
"Sort Order","排序"
"Source Model","来源型号"
"Special Expires On: %s","特价到： %s"
"Special Price:","特价："
"Special Price: %s","特价: %s"
"Starting at:","起价："
"Static","固定"
"Static block and products","固定区块和产品"
"Static block only","仅固定区块"
"Status","状态"
"Stock Availability","库存情况"
"Store","商店"
"Store View","商店界面"
"Stretch","伸展"
"Subscribe to RSS Feed","订阅 RSS Feed"
"Super product attributes configuration","进阶产品属性设定"
"Synonym For","同义"
"System Properties","系统属性"
"Tag Name","标签名"
"Tax","税"
"Template","样板"
"Text","文字"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","平面分类模块被限制为 %2\$d 个筛选器和/或可排序属性。目前已经使用了 %1\$d 个。为了使用该模块，请减少所用筛选器/排序属性的数量"
"The From Date value should be less than or equal to the To Date value.","开始日期必须小于或等于结束日期"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","属性代码 \'%s\' 是系统保留字，请改用其他代码"
"The attribute model is not defined","属性模型尚未定义"
"The attribute set has been saved.","属性集合已经保存"
